customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,Monica,Jones,paul31@example.net,(883)702-6612x78466,2023-07-05,West Miranda,Nevada,Lebanon,26-35
CUST0002,Daniel,Evans,michaelhansen@example.com,805.481.3661,2025-05-03,West Christophershire,Pennsylvania,Kazakhstan,46-60
CUST0003,Daniel,Terrell,cody49@example.com,001-996-738-5927x47448,2025-03-10,Port Joshua,Tennessee,Sao Tome and Principe,18-25
CUST0004,Traci,Haynes,fhernandez@example.com,+1-784-943-6036x567,2025-02-14,Martineztown,South Dakota,Mauritania,18-25
CUST0005,Christopher,Brown,annegarcia@example.net,7823478625,2023-05-10,Philipland,Iowa,Kuwait,46-60
CUST0006,Dylan,Clark,jacqueline74@example.net,317-814-3756x76282,2024-10-27,Greenmouth,Maine,Benin,26-35
CUST0007,Andrew,Hansen,mary09@example.com,518.516.8323x1117,2023-09-21,Port Samantha,Florida,Guatemala,46-60
CUST0008,David,Hart,gboyd@example.com,+1-571-472-2651x66713,2023-12-22,Christopherton,Louisiana,Rwanda,60+
CUST0009,Amanda,Cooper,jose46@example.net,3829125988,2025-10-02,East Stephanie,Arkansas,Mongolia,18-25
CUST0010,Justin,Jefferson,ehenderson@example.net,615-726-7980,2023-03-17,Adrianaland,Florida,Uganda,26-35
CUST0011,Steven,Hernandez,brentgonzales@example.net,+1-861-428-7929x199,2025-10-08,Davidburgh,Georgia,Ecuador,46-60
CUST0012,Lorraine,Morris,danielharris@example.com,(928)401-4559x5515,2023-08-19,Port Maryland,Virginia,Saint Vincent and the Grenadines,26-35
CUST0013,Nicole,Stone,morenomark@example.com,(771)411-0861x1066,2025-10-26,New Katherineside,Nebraska,Bahamas,60+
CUST0014,Tracey,Washington,hmedina@example.com,968.812.7183,2025-09-10,West William,Washington,Bermuda,18-25
CUST0015,Kathleen,Peterson,ecastro@example.net,+1-568-616-5759x283,2025-06-12,New Jennifer,Colorado,Lao People's Democratic Republic,46-60
CUST0016,Martha,Garcia,harrisjose@example.com,2557800146,2025-05-05,Port Theresafort,Virginia,Thailand,26-35
CUST0017,Madison,Rodriguez,karenmurphy@example.org,879-729-2597x883,2024-11-23,Micheleview,South Dakota,Malta,18-25
CUST0018,Kelly,Taylor,lgiles@example.org,(647)957-3678x749,2025-03-26,South Juliestad,Nebraska,Netherlands,36-45
CUST0019,Joanna,Smith,fmosley@example.org,941-658-2470,2024-05-14,Davidview,South Carolina,Montenegro,36-45
CUST0020,Anthony,Hall,allendonna@example.net,237.996.1237,2024-10-16,Sherrymouth,Idaho,Guadeloupe,60+
CUST0021,Eric,Proctor,brandon44@example.org,455.768.6611x42508,2024-04-01,Jadeport,Kentucky,Jersey,18-25
CUST0022,Anthony,Turner,denisefleming@example.com,+1-329-360-1035,2025-06-22,New Erica,New Hampshire,Germany,46-60
CUST0023,Leslie,Harris,tammie23@example.org,882.889.5944x131,2024-12-12,Williamshire,Arkansas,Bulgaria,18-25
CUST0024,Kristen,King,kirsten79@example.net,366-942-3224,2025-03-04,Bushburgh,Oregon,Equatorial Guinea,46-60
CUST0025,Jason,Mcfarland,bellmatthew@example.net,+1-216-905-1547x755,2025-07-06,North Melissaborough,Tennessee,Somalia,26-35
CUST0026,Frank,Liu,across@example.net,537.267.0864x0730,2024-02-14,East Willie,Maine,Palau,60+
CUST0027,Austin,Friedman,boylejoseph@example.com,737.770.2585,2025-06-07,Ericfort,Massachusetts,Indonesia,46-60
CUST0028,Craig,Robinson,cjones@example.net,+1-917-948-6662x1546,2024-04-09,Theresaland,Ohio,South Africa,60+
CUST0029,Nicole,Adams,hallelaine@example.net,(432)977-7501,2023-05-13,Madisonview,Missouri,Lithuania,60+
CUST0030,Andrea,Decker,dylanhaney@example.net,+1-884-921-3455x86645,2024-12-16,East Michelleborough,New Hampshire,Solomon Islands,36-45
CUST0031,Ruth,Lane,qgarcia@example.org,6735127620,2025-08-24,Port Vincent,Maine,Martinique,36-45
CUST0032,Tanner,Jones,david24@example.org,989-965-5837x82709,2023-11-09,Wilsonmouth,Virginia,Saudi Arabia,18-25
CUST0033,Steven,Brown,ksmith@example.com,001-426-603-4412x8575,2023-09-19,Lake Rachael,Tennessee,Guam,36-45
CUST0034,Briana,Jones,meganjones@example.com,(486)328-1693x28049,2024-04-06,West Thomas,Mississippi,Qatar,18-25
CUST0035,Donna,Tyler,icarter@example.net,001-493-441-0086x57450,2025-11-15,North Rachel,Washington,Western Sahara,60+
CUST0036,Lauren,Lewis,jesse94@example.net,(919)731-3532x562,2024-01-29,Port Scottport,Mississippi,Mayotte,36-45
CUST0037,Vicki,Hernandez,hugheserika@example.net,598-379-7012x8796,2023-10-30,Lake Marcus,Maryland,United Kingdom,26-35
CUST0038,Pamela,Sharp,kbauer@example.com,2663281740,2025-01-05,Michaelbury,Maryland,Lebanon,18-25
CUST0039,Misty,Trevino,bbailey@example.net,001-696-731-7189x246,2024-08-31,Danielton,South Carolina,Yemen,36-45
CUST0040,Mark,Kennedy,connie73@example.net,+1-251-683-1527,2024-07-10,Michaelview,Washington,New Caledonia,26-35
CUST0041,Christine,Jarvis,pjohnson@example.com,+1-470-814-9504x9716,2024-06-29,Walshport,Nevada,Serbia,18-25
CUST0042,James,Koch,brian41@example.com,386.349.5596x861,2025-01-11,East Lisa,Connecticut,Poland,26-35
CUST0043,Katie,Henry,drodriguez@example.net,001-371-923-9537x8510,2024-01-24,South Pamview,North Carolina,Lithuania,18-25
