customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST0001,Billy,Williams,hsmith@example.com,001-699-891-4559,2024-08-30,South Danielle,Florida,Ireland,18-25
CUST0002,April,Nelson,lambheather@example.com,8089442252,2023-06-25,Codyview,Michigan,Afghanistan,18-25
CUST0003,Stephanie,Walker,vernonjones@example.com,+1-913-321-8517,2025-05-14,Jamesberg,Colorado,Niue,36-45
CUST0004,Joshua,Cameron,reidjustin@example.com,(269)418-5335,2023-06-17,Port Heiditon,Arizona,United States of America,18-25
CUST0005,Barbara,Smith,xcabrera@example.com,001-855-859-3596x0523,2024-02-21,South Kyle,North Dakota,Djibouti,46-60
CUST0006,Christie,Chan,alexanderthomas@example.net,742-613-8452x1930,2025-07-29,Kevinview,Rhode Island,Niue,46-60
CUST0007,Joseph,Sharp,ashley29@example.org,+1-396-333-1705x35017,2024-12-07,Port Jessica,Rhode Island,Brunei Darussalam,36-45
CUST0008,Deborah,Simpson,april07@example.com,001-766-306-8835x14165,2025-01-12,Charlesport,North Carolina,Guinea,60+
CUST0009,Alicia,Cooper,amy81@example.com,001-516-972-2342x9956,2024-05-22,South Scottberg,Alabama,Nepal,18-25
CUST0010,Kayla,Smith,dbrown@example.org,668.436.0579,2023-10-23,Lake Amanda,Ohio,Chile,60+
CUST0011,Penny,Harmon,bstephens@example.net,(273)700-1331x340,2023-03-30,Lake Jamesfort,North Dakota,Haiti,46-60
CUST0012,Laurie,Henson,jonesdeborah@example.org,809-564-7629x32661,2023-07-10,North Kimberly,Illinois,Palestinian Territory,46-60
CUST0013,Laura,Terry,qjohnston@example.org,614.623.7705x5130,2025-07-31,East Brianstad,Maryland,Liberia,60+
CUST0014,Heather,Newman,hensontaylor@example.com,213.761.8344x8936,2025-02-25,North Susan,Louisiana,Turkmenistan,18-25
CUST0015,Matthew,Austin,grossjuan@example.com,314.831.9405x171,2024-08-15,Garciaview,Georgia,Comoros,46-60
CUST0016,Gary,Stewart,yturner@example.net,+1-284-626-6262,2023-04-25,Tammyshire,Wyoming,Solomon Islands,46-60
CUST0017,Angela,Mayer,ppage@example.net,(903)832-6492x04495,2023-08-08,Lake Anthony,Maine,Sudan,26-35
CUST0018,Krystal,King,jennifer49@example.org,+1-828-814-7829,2025-02-23,Juanmouth,Georgia,Jordan,60+
CUST0019,James,Flores,ywilson@example.com,434-216-4177x86462,2024-07-01,Tammyhaven,Tennessee,Saint Barthelemy,18-25
CUST0020,Michelle,Dennis,farmerlauren@example.net,962.467.9578x0063,2025-03-10,Port Ralphtown,North Carolina,Svalbard & Jan Mayen Islands,26-35
CUST0021,Kimberly,Stewart,chapmankristen@example.net,(397)205-8722x279,2025-09-14,North Carolynfort,Vermont,Ireland,26-35
CUST0022,Lawrence,Saunders,annahall@example.com,(419)851-5752,2024-12-16,Williamport,New Jersey,Belgium,60+
CUST0023,Peggy,Wilson,tonihenry@example.net,831-534-5826,2024-11-20,South Amanda,Kansas,Ecuador,46-60
CUST0024,Dale,Mason,andrea17@example.org,2108335994,2024-02-24,Powellhaven,Vermont,Mongolia,36-45
CUST0025,Lynn,Rivas,kelseyoliver@example.net,(443)254-6543,2024-01-01,Chelseaside,Idaho,Faroe Islands,46-60
CUST0026,Daniel,Nguyen,phillip22@example.org,001-994-446-3857x1899,2024-01-12,Jeffreychester,Minnesota,Sri Lanka,18-25
CUST0027,Tonya,Rasmussen,paula64@example.com,(989)987-0193,2023-10-20,Trevormouth,Utah,Mayotte,26-35
CUST0028,Kelly,Johnston,millerkelli@example.com,956.293.4383x053,2025-02-05,New Timothyville,Oklahoma,Mayotte,60+
CUST0029,Paul,Holder,jeffrey25@example.net,+1-754-304-3459x03428,2024-08-25,West Williamville,South Dakota,Wallis and Futuna,46-60
